,dayname,hour,nb_max_of_cluster
0,Friday,0,6
1,Friday,1,9
2,Friday,2,6
3,Friday,3,10
4,Friday,4,10
5,Friday,5,8
6,Friday,6,11
7,Friday,7,11
8,Friday,8,10
9,Friday,9,11
10,Friday,10,8
11,Friday,11,12
12,Friday,12,12
13,Friday,13,12
14,Friday,14,12
15,Friday,15,12
16,Friday,16,15
17,Friday,17,19
18,Friday,18,15
19,Friday,19,17
20,Friday,20,23
21,Friday,21,26
22,Friday,22,22
23,Friday,23,23
24,Monday,0,5
25,Monday,1,7
26,Monday,2,9
27,Monday,3,12
28,Monday,4,9
29,Monday,5,14
30,Monday,6,13
31,Monday,7,17
32,Monday,8,19
33,Monday,9,12
34,Monday,10,14
35,Monday,11,15
36,Monday,12,12
37,Monday,13,8
38,Monday,14,12
39,Monday,15,10
40,Monday,16,13
41,Monday,17,14
42,Monday,18,24
43,Monday,19,22
44,Monday,20,14
45,Monday,21,15
46,Monday,22,14
47,Monday,23,8
48,Saturday,0,13
49,Saturday,1,14
50,Saturday,2,10
51,Saturday,3,12
52,Saturday,4,8
53,Saturday,5,11
54,Saturday,6,10
55,Saturday,7,7
56,Saturday,8,10
57,Saturday,9,12
58,Saturday,10,11
59,Saturday,11,16
60,Saturday,12,15
61,Saturday,13,16
62,Saturday,14,21
63,Saturday,15,20
64,Saturday,16,16
65,Saturday,17,18
66,Saturday,18,20
67,Saturday,19,18
68,Saturday,20,16
69,Saturday,21,19
70,Saturday,22,29
71,Saturday,23,19
72,Sunday,0,17
73,Sunday,1,13
74,Sunday,2,10
75,Sunday,3,11
76,Sunday,4,13
77,Sunday,5,9
78,Sunday,6,14
79,Sunday,7,7
80,Sunday,8,7
81,Sunday,9,8
82,Sunday,10,11
83,Sunday,11,17
84,Sunday,12,17
85,Sunday,13,17
86,Sunday,14,17
87,Sunday,15,21
88,Sunday,16,19
89,Sunday,17,22
90,Sunday,18,19
91,Sunday,19,17
92,Sunday,20,17
93,Sunday,21,18
94,Sunday,22,14
95,Sunday,23,11
96,Thursday,0,9
97,Thursday,1,7
98,Thursday,2,4
99,Thursday,3,5
100,Thursday,4,9
101,Thursday,5,8
102,Thursday,6,11
103,Thursday,7,13
104,Thursday,8,12
105,Thursday,9,9
106,Thursday,10,8
107,Thursday,11,10
108,Thursday,12,9
109,Thursday,13,12
110,Thursday,14,10
111,Thursday,15,12
112,Thursday,16,15
113,Thursday,17,17
114,Thursday,18,20
115,Thursday,19,16
116,Thursday,20,24
117,Thursday,21,21
118,Thursday,22,21
119,Thursday,23,19
120,Tuesday,0,4
121,Tuesday,1,7
122,Tuesday,2,2
123,Tuesday,3,12
124,Tuesday,4,7
125,Tuesday,5,12
126,Tuesday,6,19
127,Tuesday,7,18
128,Tuesday,8,15
129,Tuesday,9,15
130,Tuesday,10,11
131,Tuesday,11,9
132,Tuesday,12,10
133,Tuesday,13,11
134,Tuesday,14,10
135,Tuesday,15,13
136,Tuesday,16,14
137,Tuesday,17,17
138,Tuesday,18,16
139,Tuesday,19,15
140,Tuesday,20,21
141,Tuesday,21,22
142,Tuesday,22,13
143,Tuesday,23,10
144,Wednesday,0,7
145,Wednesday,1,8
146,Wednesday,2,3
147,Wednesday,3,2
148,Wednesday,4,12
149,Wednesday,5,6
150,Wednesday,6,14
151,Wednesday,7,10
152,Wednesday,8,13
153,Wednesday,9,10
154,Wednesday,10,10
155,Wednesday,11,10
156,Wednesday,12,10
157,Wednesday,13,10
158,Wednesday,14,10
159,Wednesday,15,14
160,Wednesday,16,11
161,Wednesday,17,14
162,Wednesday,18,16
163,Wednesday,19,19
164,Wednesday,20,21
165,Wednesday,21,22
166,Wednesday,22,19
167,Wednesday,23,13
